"logFC","logCPM","F","PValue","FDR","Nhood","SpatialFDR","Nhood_center","Celltype","Celltype_fraction"
-1.68540363483235,6.49886576046893,17.2481289446062,3.63491467290414e-05,0.000212824220006297,1,0.000212824220006297,23325,"CD14 Monocyte",0.76219512195122
-0.765105757558264,6.49743712922103,3.37812100872095,0.0663877639366885,0.120597193409333,2,0.120597193409333,512522,"ILC1",0.174242424242424
0.00577221723350622,6.41234342080685,0.00025084469590841,0.987367029466172,0.991751796966295,3,0.991751796966295,764298,"Platelets",0.744186046511628
1.05509984870886,6.28870976997583,5.85011091038771,0.0157681415989569,0.0371814613377836,4,0.0371814613377836,661016,"NK CD56dim CD57-",0.641975308641975
0.561194638707995,6.56889826682651,1.54132119332345,0.214735864398477,0.311239866982572,5,0.311239866982572,745794,"CD14 Monocyte",0.362903225806452
0.909374242651884,6.40449787470392,4.13370601982876,0.0423221801339237,0.0835812849427499,6,0.0835812849427499,156785,"CD14 Monocyte",0.82051282051282
1.01850876605783,6.43201466059259,4.55277203294919,0.0333329330366003,0.0688974795623736,7,0.0688974795623736,207047,"IgM Plasma B Cell",0.425531914893617
2.28597353615886,6.46607127108287,20.1440651588115,9.00461135074484e-06,6.18395894589216e-05,8,6.18395894589216e-05,670573,"NK CD56dim CD57-",0.741721854304636
0.106531760556626,6.38744027417393,0.0664812452449677,0.796588053195037,0.853622964702659,9,0.853622964702659,430557,"CD4 Th17",0.2
1.70890184993498,6.64407910528614,11.8003732552418,0.000618506873119043,0.00246070422926068,10,0.00246070422926068,320987,"cDC2",0.219178082191781
1.29362584192272,6.35423499542087,8.27128927901269,0.00414460479697948,0.0122912636131231,11,0.0122912636131231,50998,"CD14 Monocyte",0.91156462585034
0.362011039605622,6.30273472839841,0.7436646640469,0.388712911112958,0.49782568243925,12,0.49782568243925,700258,"NK CD56bright",0.703703703703704
0.279221022616558,6.41924068375223,0.421371605464741,0.516414511850438,0.620166328253082,13,0.620166328253082,386032,"TReg Memory",0.150943396226415
0.558130474381012,6.4724967431437,1.53718619703695,0.215351445264119,0.311979980089992,14,0.311979980089992,128111,"CD14 Monocyte",0.255102040816327
0.463580484403763,6.55376279456911,1.05674638613533,0.304251897011511,0.410788756009183,15,0.410788756009183,659918,"NK CD56dim CD57-",0.636871508379888
1.12794436245166,6.29700646364826,6.74773992880096,0.0095357622761103,0.0245253582666637,16,0.0245253582666637,47779,"CD14 Monocyte",0.978947368421053
2.39974560881016,6.34559121985193,25.9213982433688,8.71765920498543e-07,7.89165593866619e-06,17,7.89165593866619e-06,578661,"NK CD56dim CD57-",0.477477477477477
-3.26235324844025,6.4346025372377,77.5559077060607,6.26142774470538e-18,2.25939819879178e-16,18,2.25939819879178e-16,21774,"CD14 Monocyte",0.956140350877193
1.43773551476146,6.49062832279392,8.99692251730799,0.00277677326180753,0.00878708610744649,19,0.00878708610744649,293527,"Naive-IFN B",0.411347517730496
0.659080156881207,6.66257684863112,1.77067969809598,0.184280035960141,0.275403163076005,20,0.275403163076005,294176,"Naive-IFN B",0.471264367816092
0.168285064946537,6.3356686333449,0.195824333376942,0.658216065253721,0.743168675882235,21,0.743168675882235,476281,"CD4 Naive",0.362745098039216
1.13102980707718,6.46494554802577,5.90556446462276,0.0152823628235479,0.0362179409142706,22,0.0362179409142706,746000,"ILC1",0.241758241758242
0.958636393162374,6.52782748210742,4.16563151434378,0.0415353427818955,0.0823396214202589,23,0.0823396214202589,121160,"IgM Plasma B Cell",0.172727272727273
1.73847873922005,6.3497988741977,14.7815362212517,0.000129112913875482,0.000643256405553939,24,0.000643256405553939,529320,"CD4 Naive",0.804054054054054
-0.458196984225481,6.32102412022565,1.140396889575,0.3801278997195,0.489043642717828,25,0.489043642717828,408356,"CD4 Naive",0.231884057971014
0.538146935245886,6.44507651441448,1.46242185725736,0.226854055367576,0.325344404989347,26,0.325344404989347,493377,"CD4 Th22",0.150537634408602
0.988024025848486,6.52700222997613,4.49488791877571,0.0342619401058489,0.070494108635903,27,0.070494108635903,411105,"ILC1",0.217391304347826
2.19642852017352,6.57077462814718,19.6650936718777,1.03346118283275e-05,7.00791307837468e-05,28,7.00791307837468e-05,458477,"CD4 Naive",0.325925925925926
-0.231966441101119,6.40965326033587,0.275105779656035,0.60005277704828,0.693387358271832,29,0.693387358271832,427480,"CD4 Naive",0.192771084337349
-2.43010444429978,6.58546646935054,36.9782604446607,1.76210435593783e-09,3.05558684788263e-08,30,3.05558684788263e-08,567649,"CD8 Naive",0.229508196721311
1.5456773062094,6.44098883498072,10.5913344018999,0.00117738871982378,0.00424779912291043,31,0.00424779912291043,144028,"cDC2",0.193181818181818
0.137874533112407,6.55413865642611,0.110752374453308,0.739364570277755,0.808867068524748,32,0.808867068524748,551138,"CD4 Naive",0.458100558659218
-4.02216878411159,6.48049178560689,122.244937617384,8.89973856996411e-27,6.27059909671083e-25,33,6.27059909671083e-25,569110,"MAIT",0.546762589928058
-0.23611105891693,6.26772928952845,0.278578387788242,0.652912811703969,0.738797788312856,34,0.738797788312856,45247,"CD14 Monocyte",1
0.37271474942261,6.64931670150092,0.679883726962062,0.409839258426573,0.518989503347815,35,0.518989503347815,509494,"CD4 Naive",0.120253164556962
0.629478346631379,6.48804136825215,1.81601287777587,0.178173330223007,0.267854263997627,36,0.267854263997627,504637,"MAIT",0.0833333333333333
0.844279183553244,6.38907602975551,3.61252421242937,0.0576565455572629,0.107517848995032,37,0.107517848995032,532744,"CD4 Naive",0.779411764705882
1.1022655037743,6.44868008723911,5.71102748375372,0.017057949789009,0.0397143017763278,38,0.0397143017763278,758433,"CD4 Th22",0.149425287356322
0.26704251291205,6.45164345765115,0.409029079246733,0.522621017343783,0.625553929299824,39,0.625553929299824,725047,"CD4 Naive",0.369747899159664
0.854365100897215,6.34527214096296,3.90136528451036,0.0485437328733716,0.0934674421928817,40,0.0934674421928817,529624,"CD4 Naive",0.857142857142857
-0.807921099893851,6.70027020604914,3.45933930214792,0.0633003183799161,0.116001340824443,41,0.116001340824443,226728,"Switched memory B",0.297029702970297
-0.622898972695798,6.34722134576989,2.31198280680622,0.128721807131685,0.206215195729786,42,0.206215195729786,295441,"Naive-IFN B",0.41025641025641
