"Nhood","logFC","logCPM","F","PValue","FDR","SpatialFDR","Nhood_center","Celltype","Celltype_fraction"
7063,1.10316933114668,6.65577068536314,4.76351842382647,0.0299479021974275,0.0643307212101708,0.0643014674544373,"123667","CD14 Monocyte",0.308641975308642
7064,2.42138173051635,6.82720889995185,19.8282297852549,1.25022836675003e-05,8.23845314452439e-05,7.70373692299063e-05,"224531","TReg Cytotoxic",0.537313432835821
7065,1.8171595840936,6.76952856263,11.4980304060535,0.000803033601641972,0.00310554347194155,0.00302348838172752,"232211","CD4 Naive",0.401785714285714
7066,0.299934964121926,6.65043020796783,0.38654721246331,0.534654909119112,0.636822707366427,0.637404429785193,"377784","NK CD56dim CD57+",0.315217391304348
7067,-0.0315006879768031,6.62349552558057,0.00544296751641921,0.941243956497293,0.958657744193811,0.958996754383825,"369728","NK CD56dim CD57int",0.20253164556962
7068,1.00475452052029,6.58880226803992,4.35302978040027,0.0379001391131207,0.0779140765019853,0.077861931771437,"320660","TReg KLRB1+RORC+",0.252747252747253
7069,-4.98682223637291,6.92355852353417,139.740147523795,3.55681943526806e-26,1.1933310408714e-22,2.21129224859676e-22,"397989","NK CD56dim CD57-",0.298850574712644
7070,0.197198175080528,6.88354529175092,0.150609744507204,0.698275178975903,0.775612010203629,0.774937252378062,"33786","CD16 Monocyte",0.980519480519481
7071,-0.352556705404599,6.86536140166771,0.50861293594306,0.47636802288443,0.58348125917255,0.58405182129363,"334547","CD4 Tfh",0.217948717948718
7072,1.56856489582145,6.93002708513817,7.19595813121576,0.00778201935701566,0.0211790643465274,0.0209435586175951,"421303","NK CD56dim CD57int",0.78494623655914
7073,-2.18654679780108,6.90770310056847,21.3487117120686,5.98445345361813e-06,4.26028689181412e-05,3.96169642256034e-05,"83791","CD14 Monocyte",0.953125
7074,0.451036055185386,6.57768893207762,0.92365760066334,0.337393297372625,0.448133137647028,0.448623282489645,"85113","ILC1",0.224137931034483
7075,-0.881859429505469,6.79549313191688,2.99426526478552,0.0847592745796911,0.150131474167813,0.150058338571882,"39336","CD14 Monocyte",0.945736434108527
7076,-0.110778641441381,7.25779479109515,0.0467511233643794,0.828982692861267,0.877607805429154,0.876861764528375,"236396","CD4 Naive",0.782786885245902
7077,-2.57832432177677,6.70712415980566,35.5681602298995,7.85262297539315e-09,1.12346381875023e-07,9.9950780136035e-08,"264017","CD4 Naive",0.302083333333333
7078,1.50069452884886,6.64474678359314,7.74558513750736,0.00578435404116742,0.0165326963809039,0.0163833676493595,"321173","Platelets",0.475
7079,-3.08436316218597,7.0648343987152,36.3765351198792,5.60376042059911e-09,8.12016205055923e-08,7.22004058254001e-08,"49221","CD14 Monocyte",0.934426229508197
7080,-2.77889914749919,6.58845476495536,41.2264431633474,6.24309218106156e-10,9.89891281320302e-09,8.70099447194481e-09,"144923","CD14 Monocyte",0.333333333333333
7081,0.0249829693508269,6.66780347992393,0.00505877261355431,0.943351926364617,0.960117683883184,0.960390039842849,"376975","CD8 Tem GZMB+",0.365217391304348
7082,-0.344742447193643,6.83838644971812,0.49827053096199,0.480881646955918,0.587490756346967,0.588057079740331,"236823","CD4 Naive",0.607476635514019
7083,-4.654212859788,7.11199662248122,89.4252071297188,1.79603365207228e-18,1.04259617645485e-16,9.41877669694291e-17,"131819","CD16 Monocyte",0.151898734177215
7084,-0.712916167045958,6.69667843352253,2.13148763419071,0.145492170363956,0.231138163749239,0.231540373358686,"372258","CD8 Tem GZMB+",0.227272727272727
7085,2.24388066461951,6.59224134411876,20.3573775875185,9.66800755121523e-06,6.53512664754774e-05,6.09500943970624e-05,"105639","CD14 Monocyte",0.26865671641791
7086,-0.705495753007884,6.78733508014276,1.88052248872423,0.171460230037388,0.263521253199171,0.26405676928217,"35500","CD14 Monocyte",0.981132075471698
7087,1.19444766319914,6.72859611038744,4.61803607758614,0.0325545745018293,0.0688237784137571,0.0688365968554222,"118552","IgM Plasma B Cell",0.295774647887324
7088,-1.03216472039659,6.88316210454003,4.85568681750372,0.0284162602163839,0.0616475558750984,0.0615800756937276,"407792","NK CD56dim CD57low",0.4609375
7089,0.58384312594107,6.64094489545054,1.49652869684218,0.222293899069422,0.323043448007605,0.323645418652502,"301617","TReg KLRB1+RORC+",0.238095238095238
7090,-0.055406826231796,6.83987686362033,0.0115007448114886,0.914678588672383,0.939833229593724,0.939402331257644,"402718","NK CD56dim CD57int",0.770992366412214
7091,1.56250237331018,6.56444470794014,10.1489072657119,0.00161681916211299,0.00564812163778563,0.00553665436390029,"337112","TReg KLRB1+RORC+",0.294117647058824
7092,-1.04199233579499,6.8023734855704,4.9588193373001,0.0267992260653471,0.0587901842363234,0.0587246343802524,"459820","ILC1",0.339622641509434
7093,0.826797024631539,7.08620280561267,2.38555381224854,0.123655860422887,0.203038171093612,0.203193492869345,"290761","CD4 Naive",0.224390243902439
7094,2.11546559324655,6.90001183119476,14.3314817454629,0.000189660510626085,0.000896570586821918,0.00085948815620356,"115325","CD14 Monocyte",0.753333333333333
7095,-1.46110712120384,6.9350714074883,8.34682401895647,0.00418945955481205,0.0126468218533312,0.0125327569665718,"332818","CD4 Tfh",0.357575757575758
7096,0.504711727641867,6.73423322574399,1.00453617299526,0.317130474825194,0.427630681381836,0.428044590992294,"245753","TReg Cytotoxic",0.262135922330097
7097,2.50313581916204,6.74539678203296,18.7154931530524,2.15460032348952e-05,0.000133950371050902,0.000126026890714348,"98339","CD14 Monocyte",0.825806451612903
7098,-1.95785035251527,6.94959742156856,14.7208926415275,0.000157701310351921,0.000765678473935667,0.000732874108004838,"419917","NK CD56dim CD57int",0.660493827160494
7099,1.3027161671567,6.78374733001602,5.73180078909024,0.017356519932526,0.0411840347740371,0.0410695285576067,"400259","NK CD56dim CD57int",0.653846153846154
7100,-4.56671273049904,6.77814070727051,132.139288120624,4.461897382849e-25,4.89164184220854e-22,7.84715357541051e-22,"23531","CD14 Monocyte",0.75187969924812
7101,0.625864872048305,6.69226182105326,1.83896969169263,0.176227129213351,0.269306271657394,0.269962176844352,"294373","CD4 Naive",0.408602150537634
7102,1.36262369834773,6.93071328157358,5.93827911399342,0.0154746669672306,0.0374303036041239,0.0372726005220016,"419002","NK CD56dim CD57+",0.330316742081448
7103,0.835262744088314,6.8281470056419,2.64087097549712,0.105336174888337,0.178740298352292,0.178939101009049,"91024","CD14 Monocyte",0.926829268292683
7104,-1.07794039284786,7.01765590397457,4.57466403419841,0.0333631264339889,0.0702505912527348,0.0703031314815556,"129469","Switched memory B",0.320224719101124
7105,1.41922687568466,6.63316968092143,7.96699049277004,0.00512525632318565,0.0149398579463064,0.014815343311669,"227742","TReg Cytotoxic",0.402439024390244
7106,2.81817864580049,7.01216350948331,18.0299042378386,3.17672126455161e-05,0.000188982901770713,0.00017802560465228,"70489","CD14 Monocyte",0.972972972972973
7107,-2.86644993816348,6.64254134814976,44.2845405431097,1.62530490225523e-10,2.73289107819612e-09,2.39349181424798e-09,"298563","CD4 Naive",0.573033707865168
7108,0.181666611976335,6.75350393663663,0.138380035326653,0.710194368519495,0.784920448022972,0.783902684769837,"127035","Naive B",0.301724137931034
7109,-0.00818943667632261,6.61543766756667,0.000961369346989775,0.97528814881361,0.982954043666165,0.983430901000444,"130022","CD14 Monocyte",0.183098591549296
7110,-0.0731653130272053,6.77095726305779,0.0228157543603424,0.880052201780457,0.915300078992866,0.91455107926147,"430420","Platelets",0.433628318584071
7111,0.727993794320312,6.7515349149945,1.88876233668757,0.17050375624179,0.262409739722193,0.263004342836779,"380223","NK CD56dim CD57int",0.245283018867925
7112,0.121028365229688,6.66024699142656,0.0624429639999859,0.802869357382031,0.857796405638634,0.857441680409966,"219696","CD4 Naive",0.513888888888889
7113,1.7475142340091,6.66306330456761,10.4895096804634,0.00135400614606336,0.00486283880855457,0.00475589298032287,"464799","Platelets",0.444444444444444
7114,0.428156044191489,6.56822823353072,0.854084250456767,0.356240971491438,0.467263359441374,0.467612219557749,"430741","Platelets",0.442622950819672
7115,1.23507754164106,6.7007716995426,5.94789103081269,0.0153923990479272,0.0372937894719969,0.0371360225035391,"281779","TReg Cytotoxic",0.214285714285714
7116,-0.175238984828175,6.53405081462892,0.15001484214593,0.698832332288233,0.776019584312034,0.775352561104376,"91190","CD4 Naive",0.584905660377358
7117,0.712235939040816,6.57491400615831,2.27753617277284,0.132452634080411,0.214571477763212,0.214761404774473,"453758","ILC1",0.419354838709677
7118,2.44825577983258,6.78803089803612,19.3350551648555,1.58981966141661e-05,0.000102285329021155,9.58465305533371e-05,"302235","TReg Memory",0.555555555555556
7119,-0.850106276278097,6.82339469673611,2.99774407375911,0.0845454004266874,0.149828725280456,0.14973314622728,"148425","CD14 Monocyte",0.254385964912281
7120,0.128277322963895,6.73356484310552,0.0748655085439144,0.784593350358986,0.843766603011306,0.843650362947177,"324650","TReg KLRB1+RORC+",0.276119402985075
7121,1.20569099387481,6.82047634482021,4.70704771335797,0.0309288733524353,0.0660308128529624,0.066012396807527,"56224","CD14 Monocyte",0.975409836065574
7122,0.528738672947262,6.65936138556296,1.23833631587772,0.266801240016878,0.372378523959248,0.37298483818841,"393588","NK CD56dim CD57-",0.232558139534884
7123,0.648139391264582,6.70688193864084,1.41878794205557,0.234731734963411,0.336618133657773,0.336991024590872,"33994","CD14 Monocyte",0.901960784313726
7124,-1.01416178718527,7.07635517067538,4.27510168429806,0.0396461526520077,0.0809053089086947,0.0808695027364027,"229561","CD4 Naive",0.86046511627907
7125,1.37598253621506,6.71125465480253,6.59716168253085,0.0107629501494403,0.0277431922735573,0.0274986912824059,"417761","NK CD56dim CD57+",0.223404255319149
7126,0.475872068191473,6.74781108423186,0.841497697998817,0.359803613911585,0.470938206760862,0.471292445623644,"128605","cDC2",0.2734375
7127,0.646636865961803,6.77052049357414,1.4274275448226,0.233271754532258,0.335062906833768,0.33549949065139,"400397","NK CD56dim CD57int",0.487394957983193
7128,0.146899315131739,6.76781599335263,0.086732893934163,0.768603203173003,0.831488722798819,0.831010115232934,"285171","Platelets",0.162162162162162
7129,1.6555955428555,7.10165478914556,8.58011589828719,0.00369459219380902,0.0113639436527973,0.0112324842245573,"109862","CD14 Monocyte",0.85929648241206
7130,-0.843609177334747,6.91712146939835,2.85925472762094,0.0920263387696542,0.160331576685906,0.16040059914959,"446321","CD4 Th22",0.177304964539007
7131,-1.38424226588807,6.94633619867885,7.85398565086835,0.00544558443859259,0.015735669347193,0.0155956088600101,"322167","CD4 Tfh",0.261904761904762
7132,1.94879880030393,6.51629373014099,17.0255564608512,4.9437174687234e-05,0.000279169069893135,0.000263990126836203,"122217","cDC2",0.254545454545455
7133,0.639762938404464,7.2240973306433,0.958219002375381,0.328733321226044,0.439291853059989,0.439756138270787,"65475","CD14 Monocyte",0.963350785340314
7134,-1.03108547842673,6.76018970058168,4.34683713253236,0.0380358754509093,0.0781094234373477,0.0780547479260023,"134298","IgM Plasma B Cell",0.409638554216867
7135,-1.09871215108999,7.0501437150216,4.78437273575105,0.0295939329653824,0.0636803948976384,0.0636546388298323,"185137","Naive B",0.369318181818182
7136,-2.03635538447014,6.87360387073275,17.8762927712887,3.249131483596e-05,0.000192901785791524,0.000181701627094148,"133283","Intermediate monocytes",0.383928571428571
7137,0.150676924350631,6.68546065609978,0.110081488831315,0.740313863809696,0.809658275693718,0.808899138013424,"214080","CD4 Naive",0.315217391304348
7138,0.608772090360528,6.79792762233976,1.42109569066592,0.234290505031502,0.336186416684633,0.336549965722261,"431760","Platelets",0.30327868852459
7139,0.223132779406984,6.70831871151946,0.207169126760825,0.649368326411663,0.735294953194688,0.735131262717339,"115103","cDC2",0.21978021978022
7140,1.00946902931896,6.57946730865184,4.6817079429042,0.0313799621252667,0.0668265360588639,0.0668224553402255,"384899","Platelets",0.0845070422535211
