"logFC","logCPM","F","PValue","FDR","Nhood","SpatialFDR","Nhood_center","Celltype","Celltype_fraction"
0.639795531914593,5.55392172408115,2.94205426605618,0.0874402812217447,0.133422309943235,1,0.133422309943235,"155294","CD14 Monocyte",0.475409836065574
-1.27102804580567,5.87128699431089,9.35178814205397,0.824955941359709,0.871464570328652,2,0.871464570328652,"160245","ILC1",0.15
0.0872896862842136,5.94350717213435,0.0337408147757274,0.854397769325345,0.894856566704305,3,0.894856566704305,"39725","CD14 Monocyte",0.942028985507246
-0.208092912225061,6.66092032395603,0.126201662060041,0.722690116253977,0.790160519683367,4,0.790160519683367,"784688","NK CD56dim CD57low",0.543103448275862
3.37665227630124,7.71879052898693,33.6256536649591,1.85040180846716e-08,3.76545982552195e-08,5,3.76545982552195e-08,"633330","CD4 Th1/Th17",0.246262785208497
0.353983654864214,5.66678670330386,0.691901173843933,0.406248461052724,0.504835064418807,6,0.504835064418807,"497749","CD4 Th17",0.178571428571429
-0.351255362683294,6.18645957950223,0.612761748282228,0.434431150786617,0.532004179276677,7,0.532004179276677,"279782","CD14 Monocyte",0.308433734939759
3.11183399813714,5.45052159261319,67.2954488183343,4.86267056261709e-14,1.26305992493082e-13,8,1.26305992493082e-13,"86888","Intermediate monocytes",0.579439252336449
0.186619539410679,5.33011813195444,0.454708292005777,0.500680453521134,0.596290659744711,9,0.596290659744711,"478063","TReg Cytotoxic",0.338709677419355
-2.99244001526786,5.31831439038113,95.4960544480508,2.18408303641223e-17,2.85269038856451e-16,10,2.85269038856451e-16,"58986","CD16 Monocyte",0.973451327433628
1.82470068003131,5.39147578347423,33.2644256048538,2.18312988518736e-08,4.43575603837231e-08,11,4.43575603837231e-08,"128337","CD14 Monocyte",0.476190476190476
0.159727510198259,5.37535999050318,0.286920462047155,0.592638670802152,0.679484111221688,12,0.679484111221688,"460773","TReg Cytotoxic",0.296296296296296
3.75685299241456,6.01705749258891,62.4225036892269,6.91550228005466e-14,1.72473928691595e-13,13,1.72473928691595e-13,"899680","CD14 Monocyte",0.183406113537118
-0.330601452624876,5.31782699054847,1.13264353867658,0.288156469351219,0.38153912927754,14,0.38153912927754,"447280","TReg Cytotoxic",0.21875
-0.569559356286848,7.86721043789255,0.920036176814364,0.338317691918384,0.435514043435747,15,0.435514043435747,"290407","CD14 Monocyte",0.431818181818182
-4.59297100389741,5.76780049223389,118.908705240186,2.38388604467409e-20,5.30205968547724e-18,16,5.30205968547724e-18,"249570","cDC2",0.312684365781711
1.84218340869827,6.11721214722814,14.0949618921729,0.000212566237266007,0.00038740971467959,17,0.00038740971467959,"137479","CD14 Monocyte",0.669354838709677
