diagnosis,module,pooled_edge_correlation,ci_low,ci_high,tau2,I2_percent,Q,n_series,n_series_positive,total_edges,minimum_participants_with_edges,maximum_participants_with_edges
CD,EOMES_ZEB2_inflammatory_CD8_TRM_like,0.1691145954911272,0.0510731529488096,0.2871560380334447,0.0,0.0,0.3597403459068696,3,3,1023,10,22
CD,Effector_cytotoxicity,0.2072541201896032,0.1175904945712863,0.2969177458079202,0.0,0.0,0.323133858644037,3,3,1023,10,22
CD,Th1_Tc1_inflammatory,0.1501517309633535,0.0670015251245069,0.2333019368022001,0.0,0.0,0.5070895571300673,3,3,1023,10,22
UC,EOMES_ZEB2_inflammatory_CD8_TRM_like,0.2233816007442891,0.040329204447618,0.40643399704096,0.0246151588797347,77.44185993319869,13.298968758577235,4,4,1922,6,20
UC,Effector_cytotoxicity,0.2485061403176567,0.0399027702923672,0.4571095103429463,0.0324008260812655,77.91099473050886,13.581417376650892,4,4,1922,6,20
UC,Th1_Tc1_inflammatory,0.1770984283112796,0.0646517034250382,0.289545153197521,0.0043863243237738,31.96736539396768,4.409648424425409,4,4,1922,6,20
