tcr_metric,bcr_metric,n,partial_rho,ci_low,ci_high,p_value,p_adj
tcr_clonality,bcr_gini,182,0.5336524803150803,0.3813734566727695,0.6534572801792726,8.708389094570079e-15,3.483355637828032e-13
tcr_clonality,bcr_expanded_cell_fraction,182,0.0940960202596726,-0.0564470023377925,0.2598291499199775,0.2064153882315201,0.4345587120663582
tcr_clonality,bcr_multistate_clone_fraction,106,-0.0227870535085128,-0.2294402216769413,0.1774165951927184,0.8166502848030281,0.907389205336698
tcr_clonality,bcr_switched_fraction,182,0.2408231749997843,0.0789674113317264,0.3948564491826102,0.0010572531386295,0.0084580251090361
tcr_clonality,bcr_SHM_rate,182,0.0743759815045202,-0.0714287152810953,0.2382983421357323,0.3183489895242891,0.553650416563981
tcr_clonality,bcr_IgA_mucosal_module,182,0.1722172737207118,0.0221349593335189,0.3076289449645028,0.0200865579815415,0.0835638856315929
tcr_clonality,bcr_plasma_differentiation_module,182,0.058319526868712,-0.0889063765059534,0.1926312337861638,0.4342036941109302,0.6432647320161928
tcr_clonality,bcr_BAFF_APRIL_module,182,-0.0312990075154779,-0.1573419786918206,0.1401678958742302,0.6748944229858972,0.8438221087436886
tcr_gini,bcr_gini,182,0.5042478591050913,0.3561580196449936,0.6073267541287517,3.9525450422290983e-13,7.905090084458195e-12
tcr_gini,bcr_expanded_cell_fraction,182,0.1438688347068666,-0.01865636912259,0.2985546334404027,0.052670064196058,0.1755668806535268
tcr_gini,bcr_multistate_clone_fraction,106,0.0044692076218973,-0.2188907638324262,0.1966920991928097,0.9637343176564186,0.9907389974229346
tcr_gini,bcr_switched_fraction,182,0.2624639761361418,0.1010268114921689,0.4071074978803317,0.0003443895679811726,0.0045918609064156
tcr_gini,bcr_SHM_rate,182,0.0759434883032523,-0.0921005726073196,0.2471471128158549,0.3082281220845901,0.553650416563981
tcr_gini,bcr_IgA_mucosal_module,182,0.2200251996488514,0.0789524135660066,0.3604609532160757,0.0028403078833966,0.0162303307622667
tcr_gini,bcr_plasma_differentiation_module,182,0.1004481010598279,-0.0544033777135108,0.2400645326136181,0.1772736321403025,0.3939414047562278
tcr_gini,bcr_BAFF_APRIL_module,182,-0.0021097888234138,-0.1641339803650545,0.1536395715569691,0.9774495729403412,0.9907389974229346
tcr_expanded_cell_fraction,bcr_gini,182,0.0091835206451745,-0.1412855539082474,0.1561349622017749,0.9020742757784646,0.9752154332740158
tcr_expanded_cell_fraction,bcr_expanded_cell_fraction,182,0.1316451112519478,-0.0244747298995041,0.2722452556648407,0.076482412874117,0.2107817342127211
tcr_expanded_cell_fraction,bcr_multistate_clone_fraction,106,0.0274105742883219,-0.1979979952232226,0.2195998452673603,0.7803097418733198,0.907389205336698
tcr_expanded_cell_fraction,bcr_switched_fraction,182,0.089954527936529,-0.0715920148944743,0.2330136615047185,0.2271851753133748,0.4543703506267496
tcr_expanded_cell_fraction,bcr_SHM_rate,182,0.0205673792110945,-0.1361934113667842,0.1742362005616478,0.7828656587513214,0.907389205336698
tcr_expanded_cell_fraction,bcr_IgA_mucosal_module,182,-0.0178704009531288,-0.1714982544699178,0.1607591481780243,0.8107621269935947,0.907389205336698
tcr_expanded_cell_fraction,bcr_plasma_differentiation_module,182,-0.0514033017258922,-0.2065692310522001,0.1096599417683976,0.490731216813025,0.7010445954471786
tcr_expanded_cell_fraction,bcr_BAFF_APRIL_module,182,-0.1828719822252438,-0.3306199139876142,-0.049637592903508,0.0134753439207669,0.0673767196038347
tcr_multistate_clone_fraction,bcr_gini,127,0.1525553934291662,-0.0316062365966088,0.3291748493045309,0.086850439353302,0.2171260983832551
tcr_multistate_clone_fraction,bcr_expanded_cell_fraction,127,-0.0010402582074607,-0.1678107254033246,0.1691800724915012,0.9907389974229346,0.9907389974229346
tcr_multistate_clone_fraction,bcr_multistate_clone_fraction,76,0.1693804795618279,-0.0711855207160943,0.3818034068051549,0.1435373040640395,0.3377348330918577
tcr_multistate_clone_fraction,bcr_switched_fraction,127,-0.0721790623668614,-0.2357046723136611,0.1025572131046801,0.4199968306339254,0.6432647320161928
tcr_multistate_clone_fraction,bcr_SHM_rate,127,-0.2048218611678957,-0.3754701332445542,-0.0188304462894082,0.0208909714078982,0.0835638856315929
tcr_multistate_clone_fraction,bcr_IgA_mucosal_module,127,0.0421256453521046,-0.1288918154688071,0.2014465718795441,0.638178633083412,0.8438221087436886
tcr_multistate_clone_fraction,bcr_plasma_differentiation_module,127,0.0700461407355406,-0.1183098230639432,0.2528334351530261,0.4338991341181963,0.6432647320161928
tcr_multistate_clone_fraction,bcr_BAFF_APRIL_module,127,0.0726695392827198,-0.0972018686192622,0.2483423193144529,0.4168368864894654,0.6432647320161928
tcr_cytotoxic_expanded,bcr_gini,127,0.0563408151759817,-0.0994384745624601,0.2241632381117291,0.5292502106468981,0.7300002905474458
tcr_cytotoxic_expanded,bcr_expanded_cell_fraction,127,0.0962778142708654,-0.0736597038581011,0.2616519369238221,0.281582253554944,0.5363471496284647
tcr_cytotoxic_expanded,bcr_multistate_clone_fraction,76,-0.048868628957099,-0.3112183124829453,0.1836853806861546,0.6750576869949508,0.8438221087436886
tcr_cytotoxic_expanded,bcr_switched_fraction,127,0.156429102005004,-0.0651441166096387,0.3386096589434246,0.0790431503297704,0.2107817342127211
tcr_cytotoxic_expanded,bcr_SHM_rate,127,0.1778657067768494,-0.0019461780272081,0.3435224990690965,0.045434651603398,0.1652169149214474
tcr_cytotoxic_expanded,bcr_IgA_mucosal_module,127,0.2650607172497685,0.0815189667789843,0.4125916287129588,0.0025986837584601,0.0162303307622667
