stratum,n_participants,n_edges,observed_same_inflammation_fraction,expected_same_inflammation_fraction,excess_same_inflammation_fraction,ci_low,ci_high,participant_jackknife_se,permutation_p,n_permutations
Pooled IBD,157,3246,0.6768330252618607,0.5083799094584645,0.1684531158033962,0.0779994992282506,0.2589067323785419,0.0461498043750743,0.0005999400059994,10000
CD,90,1254,0.7360446570972887,0.503370786516854,0.2326738705804347,0.1306959487279142,0.3346517924329553,0.0520295519655717,0.0001999800019998,10000
UC,67,1992,0.6395582329317269,0.5115332428765265,0.1280249900552004,0.0059258598515938,0.250124120258807,0.0622954745936768,0.0193980601939806,10000
