category,stratum,n_participants,n_edges,observed_count,observed_fraction,expected_count,expected_fraction,observed_to_expected_ratio,permutation_null_count_low,permutation_null_count_high,permutation_p,n_permutations,permutation_FDR_within_stratum
Inflamed-Inflamed,Pooled IBD,157,3246,1228,0.3783117683302526,934.7543243943712,0.287971141218229,1.3137141684748268,624.975,1314.0249999999996,0.0928907109289071,10000,0.0928907109289071
Noninflamed-Noninflamed,Pooled IBD,157,3246,969,0.2985212569316081,715.4468617078041,0.2204087682402354,1.3543982814977384,484.0,1031.0,0.0622937706229377,10000,0.0928907109289071
Mixed,Pooled IBD,157,3246,1049,0.3231669747381392,1595.7988138978244,0.4916200905415355,0.6573510337670706,1339.0,1803.0,0.0005999400059994,10000,0.0017998200179982
