state,n_cells,n_participants,median_pseudotime,q1_pseudotime,q3_pseudotime,early_memory_score,late_effector_score
CD8 Naive,31586,217,0.37973459859600633,0.20872278950398782,0.5813048032205371,0.5648006240376291,0.5873068562216238
CD8 Tcm CCR4-,19189,231,0.4375285936499222,0.2357071309319204,0.6640960077929652,0.380639005834983,0.723777876256276
CD8 Tem GZMK+,1129,26,0.5017403706794783,0.2827238972381983,0.6727513953701162,0.4790754582067111,1.2970628502124608
CD8 Tem GZMB+,9913,199,0.5622878746455269,0.351610347479827,0.7309283409771352,0.3734774446844447,1.6063628551634637
CD8 HLA-DR+,6074,240,0.5682147084719229,0.3355072096060588,0.7849483026809406,0.376923959774882,0.9491279619926027
CD8 Temra,6381,238,0.599094153170464,0.3272657841535331,0.8069117164395208,0.3595501551925413,1.409432997448439
