module,CD_aggregate_edge_correlation,UC_aggregate_edge_correlation,UC_minus_CD_difference,difference_ci_low,difference_ci_high,difference_bootstrap_p,omnibus_wald_statistic,omnibus_df,omnibus_p,n_bootstrap,CD_participants,UC_participants,CD_edges,UC_edges
EOMES_ZEB2_inflammatory_CD8_TRM_like,0.1617391553506076,0.1433140833629748,-0.0184250719876328,-0.1769300868557719,0.1665910329145684,0.8735632183908046,0.7202055074285837,3,0.8684414318992365,2000,50,54,1023,1922
Effector_cytotoxicity,0.1960450637983462,0.1537211710772539,-0.0423238927210923,-0.2018853519602027,0.151477383026444,0.7086456771614192,0.7202055074285837,3,0.8684414318992365,2000,50,54,1023,1922
Th1_Tc1_inflammatory,0.1351567627475284,0.1492395833848868,0.0140828206373584,-0.1242016151112872,0.1767434490255647,0.7926036981509246,0.7202055074285837,3,0.8684414318992365,2000,50,54,1023,1922
