comparison,module,baseline_estimate,comparison_estimate,attenuation_baseline_minus_comparison,bootstrap_ci_low,bootstrap_ci_high,bootstrap_se,wald_p,n_bootstrap,n_series,resampling_unit,batch_term_included,FDR_within_comparison
Clone-size adjusted,EOMES_ZEB2_inflammatory_CD8_TRM_like,0.1522156316490529,0.1310487912173794,0.0211668404316735,-0.0111228171913097,0.0515678513888703,0.0162117930371532,0.1916734375103272,2000,8,participant within acquisition series,False,0.5750203125309818
Clone-size adjusted,Effector_cytotoxicity,0.1687632876928024,0.1615050220711251,0.0072582656216773,-0.0228782358440299,0.038970258225665,0.0158691885809126,0.6473972058741742,2000,8,participant within acquisition series,False,0.8764993786838934
Clone-size adjusted,Th1_Tc1_inflammatory,0.1303801778451519,0.1321189323219468,-0.0017387544767948,-0.022621597550794,0.0199429240821118,0.01118829296359,0.8764993786838933,2000,8,participant within acquisition series,False,0.8764993786838934
Dominant-state adjusted,EOMES_ZEB2_inflammatory_CD8_TRM_like,0.1522156316490529,0.0281271628662229,0.12408846878283,0.0644059167246747,0.1761976782788688,0.0278948214999968,8.649578424102033e-06,2000,8,participant within acquisition series,False,1.297436763615305e-05
Dominant-state adjusted,Effector_cytotoxicity,0.1687632876928024,0.0192426836646693,0.1495206040281331,0.0837400310954683,0.2090809421510623,0.0322927947339389,3.653943489614689e-06,2000,8,participant within acquisition series,False,1.0961830468844067e-05
Dominant-state adjusted,Th1_Tc1_inflammatory,0.1303801778451519,0.0393300844728965,0.0910500933722554,0.0367873341850221,0.138769074377754,0.0257724569949947,0.0004111135770422,2000,8,participant within acquisition series,False,0.0004111135770422
