outcome,label,rho,ci_low,ci_high,p_value,n,FDR_across_four
bcr_IgA_mucosal_module,IgA mucosal plasma-cell program,0.4954498339214424,0.2270713579900783,0.6861552460117291,0.00010344200696209,56,0.00020688401392418
bcr_plasma_differentiation_module,Plasmablast/plasma-cell differentiation,0.5889329559904403,0.3976722370324471,0.7223371567774178,1.8012824180289348e-06,56,7.205129672115739e-06
bcr_IgG_inflammatory_module,IgG inflammatory program,0.4001734036581661,0.1380800875256227,0.6035532379288766,0.0022439889680006524,56,0.0029919852906675364
bcr_BAFF_APRIL_module,BAFF/APRIL program,0.38707619874072535,0.1261838234266336,0.5975325077922573,0.00320766839187791,56,0.00320766839187791
