participant,tissue,disease,module,expansion_bin,value,n_cells
C17,R,healthy,IgA mucosal,3–4,3.487329136427397,3
C17,R,healthy,IgG inflammatory,1,1.9974377891401227,206
C17,R,healthy,IgG inflammatory,2,2.029955494781913,30
C17,R,healthy,IgG inflammatory,3–4,1.942196170978599,3
C17,R,healthy,Cycling B,1,0.20016697436317346,206
C17,R,healthy,Cycling B,2,0.0,30
C17,R,healthy,Cycling B,3–4,0.0,3
C17,pBMC,healthy,Plasma differentiation,1,0.6445498596827236,67
C17,pBMC,healthy,Plasma differentiation,2,0.35049901094214286,12
C17,pBMC,healthy,Plasma differentiation,3–4,0.4106968778472094,6
C17,pBMC,healthy,Antibody secretion/UPR,1,1.6610462103691277,67
C17,pBMC,healthy,Antibody secretion/UPR,2,1.1571224215774307,12
C17,pBMC,healthy,Antibody secretion/UPR,3–4,0.7423795691115449,6
C17,pBMC,healthy,IgA mucosal,1,0.45955158897437265,67
C17,pBMC,healthy,IgA mucosal,2,0.0,12
C17,pBMC,healthy,IgA mucosal,3–4,0.251363197265494,6
C17,pBMC,healthy,IgG inflammatory,1,0.9233173001179115,67
C17,pBMC,healthy,IgG inflammatory,2,0.7596821626483132,12
C17,pBMC,healthy,IgG inflammatory,3–4,0.7055681385734045,6
C17,pBMC,healthy,Cycling B,1,0.4896538868291897,67
C17,pBMC,healthy,Cycling B,2,0.0,12
C17,pBMC,healthy,Cycling B,3–4,0.3170928677213625,6
C18,I,healthy,Plasma differentiation,1,1.0098405750096693,224
C18,I,healthy,Plasma differentiation,2,0.8778150881783042,34
C18,I,healthy,Plasma differentiation,3–4,0.45563039889682483,9
C18,I,healthy,Antibody secretion/UPR,1,1.8244188838056288,224
C18,I,healthy,Antibody secretion/UPR,2,1.480782127979103,34
C18,I,healthy,Antibody secretion/UPR,3–4,1.1153094020976986,9
C18,I,healthy,IgA mucosal,1,0.9834676018949939,224
C18,I,healthy,IgA mucosal,2,1.231235086123493,34
C18,I,healthy,IgA mucosal,3–4,0.0,9
C18,I,healthy,IgG inflammatory,1,1.1018119843432146,224
C18,I,healthy,IgG inflammatory,2,1.1079124011621375,34
C18,I,healthy,IgG inflammatory,3–4,0.4803274343909468,9
C18,I,healthy,Cycling B,1,0.5293125984375433,224
C18,I,healthy,Cycling B,2,0.0,34
C18,I,healthy,Cycling B,3–4,0.6568454336467314,9
C18,R,healthy,Plasma differentiation,1,1.0663660874872118,217
C18,R,healthy,Plasma differentiation,2,1.7420894212319633,26
C18,R,healthy,Antibody secretion/UPR,1,1.8834158839790716,217
C18,R,healthy,Antibody secretion/UPR,2,1.7439237809254804,26
C18,R,healthy,IgA mucosal,1,1.2510615522357214,217
C18,R,healthy,IgA mucosal,2,2.284563537232193,26
C18,R,healthy,IgG inflammatory,1,1.221186587175196,217
C18,R,healthy,IgG inflammatory,2,1.659308942754456,26
C18,R,healthy,Cycling B,1,0.42300652361473556,217
C18,R,healthy,Cycling B,2,0.0,26
C18,pBMC,healthy,Plasma differentiation,1,0.36795811353986807,28
C18,pBMC,healthy,Plasma differentiation,2,0.4461653755481429,2
C18,pBMC,healthy,Antibody secretion/UPR,1,1.1934774942202613,28
C18,pBMC,healthy,Antibody secretion/UPR,2,1.3612174875745704,2
C18,pBMC,healthy,IgA mucosal,1,0.0,28
C18,pBMC,healthy,IgA mucosal,2,0.6246315257674,2
C18,pBMC,healthy,IgG inflammatory,1,0.5676095734162212,28
C18,pBMC,healthy,IgG inflammatory,2,0.8201500752686308,2
C18,pBMC,healthy,Cycling B,1,0.0,28
C18,pBMC,healthy,Cycling B,2,0.0,2
C19,R,healthy,Plasma differentiation,1,2.577693894802471,506
C19,R,healthy,Plasma differentiation,2,2.4043561766044474,26
C19,R,healthy,Plasma differentiation,3–4,2.3470488224882318,6
C19,R,healthy,Antibody secretion/UPR,1,2.125375502342065,506
C19,R,healthy,Antibody secretion/UPR,2,2.1093847642300787,26
C19,R,healthy,Antibody secretion/UPR,3–4,2.081588025031744,6
C19,R,healthy,IgA mucosal,1,3.1914758069211215,506
C19,R,healthy,IgA mucosal,2,2.9774861837327777,26
C19,R,healthy,IgA mucosal,3–4,3.340420553986089,6
C19,R,healthy,IgG inflammatory,1,1.6811522041452918,506
C19,R,healthy,IgG inflammatory,2,1.6615316465196737,26
C19,R,healthy,IgG inflammatory,3–4,1.8952354710532235,6
C19,R,healthy,Cycling B,1,0.0,506
C19,R,healthy,Cycling B,2,0.0,26
C19,R,healthy,Cycling B,3–4,0.0,6
C21,I,healthy,Plasma differentiation,1,0.7389961315157043,922
C21,I,healthy,Plasma differentiation,2,0.8772058920390511,8
C21,I,healthy,Plasma differentiation,3–4,1.4374320633905608,9
C21,I,healthy,Antibody secretion/UPR,1,1.1835057782656802,922
C21,I,healthy,Antibody secretion/UPR,2,1.6860820840145054,8
C21,I,healthy,Antibody secretion/UPR,3–4,1.5381106293983349,9
C21,I,healthy,IgA mucosal,1,0.6455199759570465,922
C21,I,healthy,IgA mucosal,2,0.9221732606725965,8
C21,I,healthy,IgA mucosal,3–4,1.1422420016939079,9
C21,I,healthy,IgG inflammatory,1,1.0463265259090941,922
C21,I,healthy,IgG inflammatory,2,0.7788438363476179,8
C21,I,healthy,IgG inflammatory,3–4,0.9756486811941101,9
C21,I,healthy,Cycling B,1,0.0,922
C21,I,healthy,Cycling B,2,0.8251022393109444,8
C21,I,healthy,Cycling B,3–4,0.5606846791556791,9
C21,R,healthy,Plasma differentiation,1,3.0082370493237796,681
C21,R,healthy,Plasma differentiation,2,2.924287072375154,108
C21,R,healthy,Plasma differentiation,3–4,2.6461990006320257,41
C21,R,healthy,Plasma differentiation,≥5,2.3134261093852224,12
C21,R,healthy,Antibody secretion/UPR,1,2.429339241007581,681
C21,R,healthy,Antibody secretion/UPR,2,2.2945997581415094,108
C21,R,healthy,Antibody secretion/UPR,3–4,2.0324423408979873,41
