participant,tissue,disease,module,expansion_bin,value,n_cells
U5,R,UC,Plasma differentiation,3–4,0.4938414244465683,16
U5,R,UC,Plasma differentiation,≥5,1.738778829610436,6
U5,R,UC,Antibody secretion/UPR,1,1.1511674652898956,689
U5,R,UC,Antibody secretion/UPR,2,1.2379693316017473,48
U5,R,UC,Antibody secretion/UPR,3–4,1.0422982440191346,16
U5,R,UC,Antibody secretion/UPR,≥5,1.453908707321999,6
U5,R,UC,IgA mucosal,1,0.5476861958311282,689
U5,R,UC,IgA mucosal,2,0.8003939092282609,48
U5,R,UC,IgA mucosal,3–4,0.6543020270673183,16
U5,R,UC,IgA mucosal,≥5,0.7275186760582393,6
U5,R,UC,IgG inflammatory,1,0.9536971750642361,689
U5,R,UC,IgG inflammatory,2,1.1934421822173307,48
U5,R,UC,IgG inflammatory,3–4,1.2260160782418412,16
U5,R,UC,IgG inflammatory,≥5,1.4188476371134804,6
U5,R,UC,Cycling B,1,0.0,689
U5,R,UC,Cycling B,2,0.0,48
U5,R,UC,Cycling B,3–4,0.0,16
U5,R,UC,Cycling B,≥5,3.565243685728299,6
U5,pBMC,UC,Plasma differentiation,1,0.39120442559366303,665
U5,pBMC,UC,Plasma differentiation,2,0.3825525962692068,62
U5,pBMC,UC,Plasma differentiation,3–4,0.4694772902339022,43
U5,pBMC,UC,Antibody secretion/UPR,1,0.7245890145603008,665
U5,pBMC,UC,Antibody secretion/UPR,2,0.6775248486365315,62
U5,pBMC,UC,Antibody secretion/UPR,3–4,0.7931689041279398,43
U5,pBMC,UC,IgA mucosal,1,0.0,665
U5,pBMC,UC,IgA mucosal,2,0.0,62
U5,pBMC,UC,IgA mucosal,3–4,0.0,43
U5,pBMC,UC,IgG inflammatory,1,0.5268780951407979,665
U5,pBMC,UC,IgG inflammatory,2,0.4665481337762152,62
U5,pBMC,UC,IgG inflammatory,3–4,0.5564995911055776,43
U5,pBMC,UC,Cycling B,1,0.0,665
U5,pBMC,UC,Cycling B,2,0.0,62
U5,pBMC,UC,Cycling B,3–4,0.0,43
