modality,task,candidate_models_evaluated,reported_best_candidate_auc,nested_primary_model_pooled_auc,apparent_optimism
tcr,cd_vs_control,60,0.9928571428571428,0.8988095238095238,0.09404761904761894
tcr,cd_vs_uc,60,0.8329629629629629,0.8692799737575857,-0.036317010794622795
tcr,uc_vs_control,60,1.0,1.0,0.0
bcr,cd_vs_control,58,0.993877551020408,0.7710622710622711,0.22281527995813688
bcr,cd_vs_uc,58,0.7710714285714286,0.727242906347384,0.04382852222404465
bcr,uc_vs_control,58,1.0,0.7201492537313432,0.2798507462686568
