modality,task,comparison,delta_pooled_auc,delta_auc_ci_low,delta_auc_ci_high,median_outer_fold_delta_auc,outer_fold_wilcoxon_p,p_adj_outer_fold
TCR,CD vs Control,paired_interaction vs single_chain,0.0888278388278388,-0.0178571428571429,0.1918498168498168,0.0444444444444445,0.0026055629474458,0.0052111258948917
TCR,UC vs Control,paired_interaction vs single_chain,0.0559701492537314,0.0099502487562188,0.1206467661691542,0.0307692307692308,0.0014639297960568,0.0045208729602622
TCR,CD vs UC,paired_interaction vs single_chain,0.0203378710841397,-0.0359234049532556,0.0769230769230768,0.0128205128205127,0.1876220703125,0.2501627604166667
BCR,CD vs Control,paired_interaction vs single_chain,0.063186813186813,-0.0288461538461538,0.1543154761904762,0.0777777777777777,0.0183932626753484,0.0315290953517917
BCR,UC vs Control,paired_interaction vs single_chain,0.0621890547263681,-0.056592039800995,0.1884328358208954,0.1076923076923076,0.0023178420979953,0.0052111258948917
BCR,CD vs UC,paired_interaction vs single_chain,-0.0326390027882566,-0.0938207315072987,0.0257544694111859,-0.0079365079365079,0.890380859375,0.890380859375
