roc_auc,balanced_accuracy,accuracy,brier,sensitivity,specificity,modality,task,outer_fold,n_test,best_params
0.9702380952380952,0.9791666666666667,0.967741935483871,0.04461978957478261,0.9583333333333334,1.0,pbmc,cd_vs_control,1,31,"{""clf__C"": 10, ""select__k"": ""all""}"
0.9702380952380952,0.9375,0.9032258064516129,0.09320694075352065,0.875,1.0,pbmc,cd_vs_control,2,31,"{""clf__C"": 10, ""select__k"": ""all""}"
0.8869047619047619,0.7648809523809523,0.8709677419354839,0.07990288098546218,0.9583333333333334,0.5714285714285714,pbmc,cd_vs_control,3,31,"{""clf__C"": 10, ""select__k"": ""all""}"
0.8690476190476191,0.8660714285714286,0.8709677419354839,0.11473718293068105,0.875,0.8571428571428571,pbmc,cd_vs_control,4,31,"{""clf__C"": 10, ""select__k"": ""all""}"
0.9523809523809523,0.9375,0.9032258064516129,0.09312442550033262,0.875,1.0,pbmc,cd_vs_control,5,31,"{""clf__C"": 10, ""select__k"": ""all""}"
0.8035714285714286,0.7232142857142857,0.8064516129032258,0.18175857798843806,0.875,0.5714285714285714,pbmc,cd_vs_control,6,31,"{""clf__C"": 10, ""select__k"": ""all""}"
0.9821428571428571,0.9583333333333333,0.9354838709677419,0.04574859770256404,0.9166666666666666,1.0,pbmc,cd_vs_control,7,31,"{""clf__C"": 10, ""select__k"": ""all""}"
0.9404761904761905,0.7946428571428572,0.8387096774193549,0.10946773520636956,0.875,0.7142857142857143,pbmc,cd_vs_control,8,31,"{""clf__C"": 1, ""select__k"": 25}"
0.8928571428571428,0.8869047619047619,0.9032258064516129,0.09672458169158275,0.9166666666666666,0.8571428571428571,pbmc,cd_vs_control,9,31,"{""clf__C"": 1, ""select__k"": ""all""}"
0.9464285714285715,0.8660714285714286,0.8709677419354839,0.09527958965280554,0.875,0.8571428571428571,pbmc,cd_vs_control,10,31,"{""clf__C"": 10, ""select__k"": ""all""}"
0.9107142857142857,0.8452380952380952,0.8387096774193549,0.12300150211087371,0.8333333333333334,0.8571428571428571,pbmc,cd_vs_control,11,31,"{""clf__C"": 10, ""select__k"": 25}"
0.886904761904762,0.8869047619047619,0.9032258064516129,0.09502069025733602,0.9166666666666666,0.8571428571428571,pbmc,cd_vs_control,12,31,"{""clf__C"": 10, ""select__k"": ""all""}"
0.8809523809523809,0.8244047619047619,0.8064516129032258,0.14386483931588448,0.7916666666666666,0.8571428571428571,pbmc,cd_vs_control,13,31,"{""clf__C"": 1, ""select__k"": 25}"
